Gemeente,Kerkbezoek. minimaal 1x per maand (percentage van gehele 18+ populatie),Geen kerkelijke gezindte,Rooms-katholiek,Protestants,Islam,Joods,Hindoe,Boeddhist,anders,
Nederland totaal,16.9,47.9,25.5,16.3,4.8,0.1,0.6,0.4,4.4,
Appingedam,11.9,55.2,3.7,28.9,3.9,0.0,0.0,0.3,8.1,
Bedum,38.0,48.2,3.7,45.7,0.6,0.0,0.0,0.0,1.9,
Bellingwedde,7.1,69.2,7.6,16.8,0.4,0.0,0.0,0.2,5.9,
Ten Boer,19.1,63.0,1.1,33.0,0.5,0.0,0.0,0.0,2.4,
Delfzijl,14.8,67.5,4.7,21.0,1.6,0.0,0.1,0.1,5.0,
Groningen,10.9,71.5,6.0,13.7,2.4,0.1,0.5,0.5,5.4,
Grootegast,42.4,34.3,1.9,60.9,0.0,0.0,0.0,0.0,3.0,
Haren,19.3,63.0,6.3,23.0,0.4,0.0,0.1,0.6,6.5,
Hoogezand-Sappemeer,14.1,67.1,6.1,11.1,6.1,0.0,0.2,0.2,9.1,
Leek,17.2,59.5,1.5,32.6,0.2,0.0,0.0,0.0,6.2,
Loppersum,24.6,55.6,7.5,31.8,0.0,0.0,0.0,0.2,4.9,
Marum,13.0,59.7,2.2,34.7,0.0,0.0,0.0,0.2,3.2,
Almere,13.4,59.9,14.2,8.2,8.0,0.3,1.8,0.6,7.0,
Stadskanaal,24.3,52.0,13.4,27.5,0.6,0.0,0.1,0.0,6.3,
Slochteren,20.3,66.3,2.1,25.9,1.3,0.0,0.0,0.0,4.3,
Veendam,12.7,68.4,6.1,16.4,4.5,0.0,0.4,0.1,4.1,
Vlagtwedde,15.3,57.2,12.7,25.1,0.9,0.0,0.5,0.0,3.6,
Zeewolde,19.8,58.0,9.8,26.0,0.9,0.0,0.0,0.1,5.3,
Winsum,23.6,55.6,4.1,35.7,0.0,0.0,0.0,0.0,4.6,
Zuidhorn,45.9,35.3,4.6,55.7,0.7,0.0,0.4,0.0,3.2,
Dongeradeel,36.5,29.4,3.4,61.4,0.0,0.0,0.0,0.3,5.5,
Achtkarspelen,33.6,39.3,1.6,49.0,0.1,0.0,0.0,0.0,10.0,
Ameland,.,.,.,0.0,.,.,.,.,.,
het Bildt,17.7,55.7,3.0,39.0,0.6,0.0,0.0,1.0,0.7,
Franekeradeel,17.9,59.2,5.9,32.7,0.2,0.0,0.0,0.0,1.9,
Harlingen,16.6,65.8,7.1,19.8,0.0,0.2,0.0,0.2,6.9,
